Step,I,R,S,,,,,,,,,,,
0.60,10.10,2.70,760.70,,,,,,,,,,,
0.90,12.90,2.70,756.50,,,,,,,,,,,
1.20,16.40,3.40,752.10,,,,,,,,,,,
1.50,20.30,4.80,747.00,,,,,,,,,,,
1.80,24.60,6.10,739.30,,,,,,,,,,,
2.10,31.10,8.80,730.80,,,,,,,,,,,
2.40,38.00,12.90,720.50,,,,,,,,,,,
2.70,47.60,16.90,706.30,,,,,,,,,,,
3.00,58.20,22.40,690.80,,,,,,,,,,,
3.30,71.40,28.60,672.10,,,,,,,,,,,
3.60,86.60,36.60,648.50,,,,,,,,,,,
3.90,105.20,47.40,620.20,,,,,,,,,,,
4.20,127.40,58.70,586.80,,,,,,,,,,,
4.50,150.70,73.10,549.40,,,,,,,,,,,
4.80,176.60,91.00,505.90,,,,,,,,,,,
5.10,206.50,111.90,454.60,,,,,,,,,,,
5.40,236.60,136.70,400.10,,,,,,,,,,,
5.70,263.00,165.20,341.80,,,,,,,,,,,
6.00,287.40,199.50,281.50,,,,,,,,,,,
6.30,308.20,229.50,228.80,,,,,,,,,,,
6.60,320.10,278.40,172.50,,,,,,,,,,,
6.90,315.60,322.40,129.90,,,,,,,,,,,
7.20,304.90,368.80,95.70,,,,,,,,,,,
7.50,284.00,415.00,67.30,,,,,,,,,,,
7.80,261.00,460.60,46.40,,,,,,,,,,,
8.10,231.20,502.90,34.00,,,,,,,,,,,
8.40,198.20,542.80,27.10,,,,,,,,,,,
8.70,167.20,577.70,23.10,,,,,,,,,,,
9.00,142.20,607.40,18.30,,,,,,,,,,,
9.30,120.00,633.10,16.30,,,,,,,,,,,
9.60,99.10,654.70,14.90,,,,,,,,,,,
9.90,83.10,673.30,13.60,,,,,,,,,,,
10.20,68.70,687.70,12.90,,,,,,,,,,,
10.50,57.60,700.20,12.20,,,,,,,,,,,
10.80,47.50,710.60,11.50,,,,,,,,,,,
11.10,39.40,719.80,10.90,,,,,,,,,,,
11.40,32.60,726.80,10.90,,,,,,,,,,,
11.70,27.20,732.70,10.20,,,,,,,,,,,
12.00,21.70,738.20,10.20,,,,,,,,,,,
12.30,18.10,742.30,8.90,,,,,,,,,,,
12.60,14.90,744.90,6.90,,,,,,,,,,,
12.90,12.20,747.80,12.20,,,,,,,,,,,
13.20,10.30,750.40,8.40,,,,,,,,,,,
13.50,8.20,753.10,8.40,,,,,,,,,,,
13.80,6.80,754.50,10.80,,,,,,,,,,,
14.10,5.40,755.80,9.60,,,,,,,,,,,
14.40,4.80,756.50,8.40,,,,,,,,,,,
14.70,4.10,757.20,8.00,,,,,,,,,,,
