Fear,Behavior,Infected
0,20,0
0,26,0.2
0,30,1
0,31,1.2
0,31,1.4
0,31,2.4
0,31,3
0,31,4.4
0,31,7
0,31,9
0,31,13.4
0.05,31,18.6
0.05,31,25.6
0.1,31,31.4
0.175,30.35,39.6
0.25,30.3,53.6
0.275,30.25,68.8
0.675,30.6,92.2
0.825,30.65,121
1.05,30.75,147.8
1.35,30.8,169
1.95,30.9,194.4
2.325,31.05,229.2
2.95,31.3,266.4
3.925,31.65,304.6
5.275,32.175,347.2
6.575,32.8,401.2
8.5,33.7,441.8
10.775,34.475,488.4
11.125,34.875,550.6
12.6,35.625,615.8
16.5,37,680.2
18.9,38.325,756.6
21.1,39.425,849.6
24.175,40.75,909.8
27.2,42.275,979.8
26.2,42.225,1081.6
27.05,42.425,1176
33.175,44.65,1279
35.975,46.2,1386.6
39.3,47.675,1498.2
42.3,49.05,1577.8
44.9,50.4,1662.8
41.725,49.35,1779.2
40.85,48.675,1894.6
48.65,51.35,2014.8
52.2,53.25,2117.6
56.15,54.95,2220.8
56.35,55.375,2279.6
57.15,55.75,2343.6
52.15,54,2434.6
48.95,52.325,2549.4
55.375,54.25,2671
60.925,56.675,2793.4
67.05,59.275,2871
66.15,59.475,2902.2
63.525,58.6,2932.4
57.425,56.05,3013.2
52.525,53.7,3131.2
56.15,54.325,3280.4
62.575,56.625,3403.8
70.475,59.975,3476.8
73.725,61.775,3504.2
71.2,61.15,3518.6
64.65,58.525,3549.4
58.85,55.975,3601
56.4,54.375,3700.4
56.6,54.175,3837.6
62.675,56.225,3983
70.25,59.325,4064.2
76.4,62.25,4108.6
71.875,60.95,4155
66.775,58.85,4198.8
64.125,57.425,4279
62.9,56.525,4431.4
65.525,57.325,4698.8
74.8,60.725,4794.6
85.825,65.325,4829
79.55,63.65,4852.6
74.6,61.5,4874.2
69.5,59.25,4900.6
66.225,57.625,4947.4
63.475,56.275,5041.4
63.925,56.175,5117.8
74.125,59.725,5255.2
72,59.45,5441.4
77.525,61.475,5612.4
78.375,62.1,5695.2
77.15,61.7,5764.4
72.925,59.975,5870.2
71.175,59.05,5898.4
73.725,59.65,5949.6
69.125,58.1,6101.6
71.6,58.6,6274.2
74.775,59.8,6390.6
78.025,61.1,6570.6
79.325,61.75,6746
81.1,62.525,6771.2
80.65,62.075,6804.6
74.275,59.8,6908
73.325,59.025,7007.6
75.775,59.65,7093.4
76.125,59.9,7266.8
77.325,60.25,7463.6
79.45,61,7498
80.675,61.575,7570
78.025,60.6,7759.6
78.15,60.575,7933
79.75,61,8013
78.325,60.575,8124.8
77.5,60.125,8225.8
78.3,60.3,8256.2
