Behavior,Fear,Infected
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,3
0,0,3
0,0,7
0,0,10
0,0,14
0,0,22
0,0.125,31
0,0.125,50
0,0.25,60
0,0.5,67
0,0.625,110
0,0.625,138
0,1,186
0,1.375,237
0,1.875,302
0.25,2.625,336
0.625,3.375,388
0.875,4.5,460
1.375,5.625,545
1.625,8,617
2.375,10.625,712
3.375,14.375,813
4.75,19.625,901
6.5,26.125,992
8,30.75,1152
10.25,38.125,1302
14.125,49.875,1427
18.75,57,1587
22.125,63.25,1733
26.5,71,1852
30.75,76.875,1983
31.375,73.625,2175
32.375,75.625,2354
38.625,90.25,2551
42.5,93.375,2759
45.375,97.375,2960
48.375,101.5,3124
52.375,106.625,3257
50.25,99.75,3438
48.5,97.625,3631
53.125,109.25,3846
57.625,114.25,4044
60.875,117.5,4237
61.25,115.5,4341
59.875,113.625,4443
55.5,104.375,4585
51.5,97.75,4784
55.625,113.125,5036
62,121.75,5267
66,124.5,5413
64.875,120.375,5470
60.625,112.375,5496
55.5,102.75,5642
51.375,96.625,5881
56,115.125,6133
63.625,125.75,6354
66.25,126.25,6443
65.125,122.5,6476
60.25,112.375,6503
55.125,102.25,6651
50.875,94.875,6915
56.125,117.375,7175
63.5,127.625,7382
66,127.125,7443
65.75,125.375,7467
60.75,115.125,7510
55.5,105,7771
51.5,97.5,8199
60.875,126.25,8610
66,130,8776
68,130,8836
65.125,124.5,8870
60.125,114.375,8932
55,104.375,9208
51.125,97.25,9633
59.625,126,9996
64.75,130,10175
66.125,129.75,10230
64.375,125.5,10264
59.375,115.125,10296
54.5,105.375,10563
50.375,97.625,10872
58.375,126.125,11135
63.125,129.75,11271
64.375,129,11308
61.5,123.5,11335
56.875,113.375,11389
52.125,103.875,11584
48.5,97.625,11771
56.5,125.625,11931
60,126.25,12044
59.75,124.25,12093
56.125,117,12120
52.25,109,12176
48.375,100.375,12310
45.25,98,12429
52,120.375,12537
52.875,117.125,12640
50.375,111.375,12726
49.375,111.5,12763
48.5,110.625,12806
45.125,101.875,12901
41.875,94.375,12986
45.25,109.5,13050
44,103.875,13129
41.5,99,13215
40.625,100,13258
