ValueX,Date,Value
6,15/02/2020,0
6,16/02/2020,0
6.1,17/02/2020,-0.1
5.69,18/02/2020,0.31
5.321,19/02/2020,0.679
5.0889,20/02/2020,0.9111
4.78001,21/02/2020,1.21999
4.502009,22/02/2020,1.497991
3.9518081,23/02/2020,2.0481919
3.55662729,24/02/2020,2.44337271
3.400964561,25/02/2020,2.599035439
2.960868105,26/02/2020,3.039131895
2.364781294,27/02/2020,3.635218706
1.628303165,28/02/2020,4.371696835
1.765472848,29/02/2020,4.234527152
1.488925564,01/03/2020,4.511074436
2.140033007,02/03/2020,3.859966993
2.126029707,03/03/2020,3.873970293
1.913426736,04/03/2020,4.086573264
1.922084062,05/03/2020,4.077915938
1.329875656,06/03/2020,4.670124344
0.89688809,07/03/2020,5.10311191
0.907199281,08/03/2020,5.092800719
2.016479353,09/03/2020,3.983520647
1.714831418,10/03/2020,4.285168582
0.843348276,11/03/2020,5.156651724
0.659013449,12/03/2020,5.340986551
-0.106887896,13/03/2020,6.106887896
-0.996199107,14/03/2020,6.996199107
-2.596579196,15/03/2020,8.596579196
-3.536921276,16/03/2020,9.536921276
-3.883229149,17/03/2020,9.883229149
-5.594906234,18/03/2020,11.59490623
-8.435415611,19/03/2020,14.43541561
-12.09187405,20/03/2020,18.09187405
-15.88268664,21/03/2020,21.88268664
-21.19441798,22/03/2020,27.19441798
-26.17497618,23/03/2020,32.17497618
-29.25747856,24/03/2020,35.25747856
-32.23173071,25/03/2020,38.23173071
-34.80855764,26/03/2020,40.80855764
-37.22770187,27/03/2020,43.22770187
-39.40493169,28/03/2020,45.40493169
-42.06443852,29/03/2020,48.06443852
-45.55799467,30/03/2020,51.55799467
-46.4021952,31/03/2020,52.4021952
-47.06197568,01/04/2020,53.06197568
-47.55577811,02/04/2020,53.55577811
-48.2002003,03/04/2020,54.2002003
-49.08018027,04/04/2020,55.08018027
-50.47216224,05/04/2020,56.47216224
-51.22494602,06/04/2020,57.22494602
-50.40245142,07/04/2020,56.40245142
-49.76220628,08/04/2020,55.76220628
-48.98598565,09/04/2020,54.98598565
-48.08738708,10/04/2020,54.08738708
-51.27864837,11/04/2020,57.27864837
-51.75078354,12/04/2020,57.75078354
-52.87570518,13/04/2020,58.87570518
-55.68813467,14/04/2020,61.68813467
