Infected,Fear,Behavior
0,0,0
0.555555556,0,0
1.444444444,0,0
2.111111111,0,0
3.333333333,0,0
5.111111111,0,0
6,0,0
6.888888889,0,0
11,0,0
17,0,0
22.66666667,0.090277778,0
31.77777778,0.215277778,0
42.33333333,0.326388889,0
50.77777778,0.520833333,0
61.44444444,0.680555556,0
87.22222222,0.763888889,0
115.7777778,0.923611111,0.013888889
147.5555556,1.458333333,0.041666667
187.1111111,1.881944444,0.090277778
238.5555556,2.604166667,0.25
273.2222222,3.520833333,0.409722222
315.4444444,4.784722222,0.715277778
381.5555556,6.152777778,1.048611111
449.6666667,8.173611111,1.493055556
528.7777778,11.36805556,2.034722222
620.6666667,15.23611111,2.993055556
725.7777778,19.81944444,4.138888889
805.1111111,25.64583333,5.6875
885,32.29861111,7.652777778
1017.666667,35.375,9.305555556
1155.888889,40.42361111,11.17361111
1289.333333,50.16666667,14.56944444
1436.555556,56.25,17.69444444
1612,61.67361111,20.35416667
1740,68.125,23.34027778
1870.444444,75.01388889,27.10416667
2057.333333,72.18055556,27.61805556
2240.111111,75.10416667,28.58333333
2431.222222,87.90277778,33.40277778
2636.888889,91.65972222,36.79166667
2845.666667,95.97222222,39.40972222
2996.444444,100.3472222,42.09027778
3147.222222,104.6111111,45.03472222
3357.777778,98.1875,43.40277778
3584.222222,98.01388889,42.52083333
3808.777778,110.5763889,47.36111111
4032.111111,114.0486111,50.97916667
4243.444444,116.1041667,53.1875
4373.666667,116.8472222,54.20138889
4505.777778,116.9652778,54.54166667
4716.111111,108.6597222,51.18055556
4973.555556,106.2013889,48.625
5232,120.6458333,53.61805556
5457.555556,123.9375,57.375
5645.888889,124.7430556,59.00694444
5750.666667,123.4375,58.82638889
5856.333333,120.0138889,57.02083333
6085.888889,110.7361111,52.78472222
6360.555556,107.0486111,49.45833333
6624.111111,124.75,55.25
6841.222222,127.375,58.79861111
7000.444444,127.3888889,60.10416667
7094.444444,125.7013889,59.47222222
7192.444444,121,56.82638889
7418.888889,111.3819444,52.47916667
7691.666667,107.7569444,48.97222222
7956.555556,126.5972222,55.01388889
8166,128.1180556,58.18055556
8323.888889,127.9583333,59.19444444
8408.444444,126.3541667,58.63888889
8508.444444,122.2361111,56.32638889
8887.333333,112.6180556,52
9308.888889,111.8819444,49.11805556
9671.111111,129.8611111,56.09027778
9926.444444,129.9791667,58.94444444
10112,129.8263889,59.72222222
10194.66667,128.6875,59.13888889
10276.22222,126.3194444,57.59722222
10514.66667,116.2847222,53.18055556
10833.44444,110.6388889,49.40972222
11093.66667,128.6111111,54.76388889
11283.66667,129.4791667,57.20138889
11426.33333,128.7430556,57.56944444
11492.44444,126.875,56.65972222
11559.66667,123.0694444,54.35416667
11742.33333,113.2847222,50.18055556
11916.77778,106.3611111,46.58333333
12058.11111,126.4930556,51.90277778
12188.77778,125.2638889,53.19444444
12299.55556,122.3333333,52.22222222
12357.33333,120.0277778,50.66666667
12412,117,48.65972222
12531.22222,107.7847222,45.07638889
12627.55556,100.0972222,41.69444444
12712.22222,117.1180556,45.13194444
12791.22222,111.9861111,44.125
12875,107.8263889,42.125
12916.77778,105.7291667,40.52083333
12963.33333,105.8541667,39.75
13040.22222,97.61111111,37.04861111
13108.33333,90.52083333,34.47222222
13172.88889,102.5972222,36.22222222
13249.77778,98.09027778,34.98611111
13333.55556,97.49305556,34.40972222
13373.77778,101.375,35.36111111
13410.88889,102.2986111,36.13194444
13493.77778,94.38194444,33.89583333
13557.77778,87.32638889,31.63194444
13613.44444,102.2083333,34.6875
13677.88889,97.22222222,33.75
13735.77778,93.26388889,32.27083333
13789.5,91.84722222,31.20138889
